@RELATION word_relatedness

@ATTRIBUTE measure_1 NUMERIC
@ATTRIBUTE measure_2 NUMERIC
@ATTRIBUTE measure_3 NUMERIC
@ATTRIBUTE measure_4 NUMERIC
@ATTRIBUTE measure_5 NUMERIC
@ATTRIBUTE measure_6 NUMERIC
@ATTRIBUTE measure_7 NUMERIC
@ATTRIBUTE measure_8 NUMERIC
@ATTRIBUTE measure_9 NUMERIC
@ATTRIBUTE measure_10 NUMERIC
@ATTRIBUTE measure_11 NUMERIC
@ATTRIBUTE measure_12 NUMERIC
@ATTRIBUTE measure_13 NUMERIC
@ATTRIBUTE measure_14 NUMERIC
@ATTRIBUTE measure_15 NUMERIC
@ATTRIBUTE measure_16 NUMERIC
@ATTRIBUTE measure_17 NUMERIC
@ATTRIBUTE measure_18 NUMERIC
@ATTRIBUTE measure_19 NUMERIC
@ATTRIBUTE measure_20 NUMERIC
@ATTRIBUTE measure_21 NUMERIC
@ATTRIBUTE measure_22 NUMERIC
@ATTRIBUTE measure_23 NUMERIC
@ATTRIBUTE measure_24 NUMERIC
@ATTRIBUTE class {TRUE,FALSE}

@DATA
70707.0,1.0E-4,13034.8004,10.2327,8634.2004,0.0,376.0083,0.6415,0.4293,0.4293,0.1658,3.0E-4,0.0665,0.0665,17.2435,-7.0E-4,0.1248,0.1248,1.8904,-0.0015,32201.4044,0.9335,0.0,0.0,FALSE
2.0294191E7,0.0227,51337.9252,34.5361,2263338.8916,0.0025,608.0265,0.8043,0.5497,0.5497,0.2247,3.0E-4,0.0127,0.0127,15.3232,-0.0291,0.0251,0.0251,1.8775,-0.06,9674960.8316,4.5086,0.0,0.0,FALSE
697316.0,8.0E-4,34634.1986,24.9528,103558.101,1.0E-4,560.0197,0.819,0.9299,0.9299,0.221,0.0866,0.0208,0.0208,22.8632,0.0255,0.0408,0.0408,1.9162,0.0496,326533.3433,3.0001,0.0,0.0,FALSE
151281.0,2.0E-4,18875.4857,17.2899,13522.6023,0.0,434.4711,0.8143,0.8689,0.8689,0.3392,0.2223,0.2673,0.2673,6.2733,0.0909,0.4218,0.4218,1.725,0.1666,61051.7546,1.4783,0.0,0.0,FALSE
367615.0,4.0E-4,34213.9473,32.7116,28830.1639,0.0,561.6636,1.0193,0.8606,0.8606,0.2983,0.1197,0.0729,0.0729,12.6625,0.0249,0.1358,0.1358,1.8536,0.0485,160098.0111,3.09,0.0,0.0,FALSE
507594.0,6.0E-4,44894.9693,28.0509,20590.1159,0.0,631.7425,0.7465,0.7836,0.7836,0.3639,0.0122,0.1353,0.1353,6.3748,0.0077,0.2384,0.2384,1.7288,0.0153,217712.2576,3.8845,0.0,0.0,FALSE
2798125.0,0.0031,34215.1504,21.1407,271937.8072,3.0E-4,519.0661,0.7423,0.7415,0.7415,0.2985,0.0283,0.0142,0.0142,9.9623,0.0063,0.0281,0.0281,1.8176,0.0125,1320937.1529,2.8154,0.0,0.0,FALSE
288208.0,3.0E-4,25748.3887,21.6041,36497.529,0.0,497.7893,0.8628,0.5674,0.5674,0.2019,0.0208,0.0266,0.0266,24.4375,0.0045,0.0518,0.0518,1.9214,0.009,136147.0988,2.1621,0.0,0.0,FALSE
2513704.0,0.0028,46180.4183,33.1105,396588.1031,4.0E-4,591.7005,0.698,0.9409,0.9409,0.3195,0.0588,0.1461,0.1461,7.7833,0.02,0.255,0.255,1.7723,0.0393,942903.6466,4.5926,0.0,0.0,FALSE
327945.0,4.0E-4,21072.226,30.7614,41042.7738,0.0,439.3569,1.2929,0.6348,0.6348,0.2811,0.0088,0.066,0.066,10.3197,0.0064,0.1238,0.1238,1.8233,0.0127,143798.9121,1.913,0.0,0.0,FALSE
994679.0,0.0011,47550.9684,22.4368,106001.2325,1.0E-4,648.3014,0.7929,0.7843,0.7843,0.2158,0.0013,0.0726,0.0726,14.283,-0.0077,0.1353,0.1353,1.8691,-0.0156,443732.2691,3.8916,0.0,0.0,FALSE
678516.0,8.0E-4,48974.9985,24.5284,42130.2818,0.0,661.4109,0.7474,0.5521,0.5521,0.2743,0.0021,0.0967,0.0967,9.5715,-0.0019,0.1763,0.1763,1.8108,-0.0039,301184.9226,4.072,0.0,0.0,FALSE
1093263.0,0.0012,43257.7719,35.1941,83403.2758,1.0E-4,606.6806,0.9572,0.616,0.616,0.2789,0.0016,0.0703,0.0703,10.5693,-0.0022,0.1314,0.1314,1.8271,-0.0043,483400.8606,4.045,0.0,0.0,FALSE
2170392.0,0.0024,44133.088,32.3518,169998.1045,2.0E-4,576.4093,0.7821,0.9251,0.9251,0.3499,0.0827,0.2911,0.2911,6.2079,0.032,0.4509,0.4509,1.7225,0.0621,800783.3583,4.2874,0.0,0.0,FALSE
2672249.0,0.003,46202.6126,32.3123,233448.9355,3.0E-4,588.21,0.7444,0.7438,0.7438,0.3042,0.0227,0.228,0.228,7.5788,0.0062,0.3714,0.3714,1.7669,0.0123,1043362.6397,4.476,0.0,0.0,FALSE
3050042.0,0.0034,34185.129,18.534,830642.2978,9.0E-4,521.9174,0.8364,0.188,0.188,0.1529,6.0E-4,0.0031,0.0031,41.2397,-0.0224,0.0062,0.0062,1.9527,-0.0458,1503644.9069,2.8563,0.0,0.0,FALSE
1.4894997E7,0.0167,44804.3181,34.7386,1825422.4328,0.002,548.6672,0.7668,0.7772,0.7772,0.2659,0.0067,0.0505,0.0505,10.9532,-0.0259,0.0962,0.0962,1.8327,-0.0532,6661849.0319,4.2664,0.0,0.0,FALSE
222479.0,2.0E-4,23331.9358,25.9215,29727.2569,0.0,482.5748,1.4858,0.697,0.697,0.2494,1.0E-4,0.0536,0.0536,12.7786,-0.0014,0.1017,0.1017,1.8548,-0.0028,101853.0669,1.9027,0.0,0.0,FALSE
6692804.0,0.0075,50294.8061,35.8736,606109.225,7.0E-4,625.2806,0.8519,0.5563,0.5563,0.2436,0.0021,0.0415,0.0415,14.5088,-0.0192,0.0797,0.0797,1.871,-0.0391,3070303.4885,4.7911,0.0,0.0,FALSE
6574374.0,0.0074,39190.8455,33.6925,631942.5042,7.0E-4,548.026,1.0026,0.4187,0.4187,0.2647,0.0033,0.0123,0.0123,13.3458,-0.0156,0.0244,0.0244,1.8606,-0.0316,3147647.4029,3.7622,0.0,0.0,FALSE
8466271.0,0.0095,40626.1315,33.8114,630653.5375,7.0E-4,510.8866,0.7468,0.6297,0.6297,0.2483,0.0126,0.1663,0.1663,11.7275,-0.0211,0.2852,0.2852,1.8429,-0.0432,3617020.1311,4.2808,0.0,0.0,FALSE
138973.0,2.0E-4,13949.1618,15.1801,19605.3003,0.0,380.6578,1.0629,0.9155,0.9155,0.2568,0.1465,0.1395,0.1395,10.8522,0.0812,0.2448,0.2448,1.8313,0.1502,54454.9134,1.0521,0.0,0.0,FALSE
3902523.0,0.0044,51928.1787,31.7314,695728.6398,8.0E-4,636.3989,0.7055,0.4216,0.4216,0.2867,0.0032,0.0444,0.0444,10.2882,-0.011,0.0851,0.0851,1.8228,-0.0223,1768869.0879,4.8892,0.0,0.0,FALSE
2441356.0,0.0027,53201.0416,28.9426,278444.6533,3.0E-4,639.1565,0.7008,0.7497,0.7497,0.2565,0.0027,0.1259,0.1259,10.3739,-0.0102,0.2236,0.2236,1.8242,-0.0205,1017282.4049,4.8806,0.0,0.0,FALSE
1118933.0,0.0013,54249.2809,30.5164,65914.6152,1.0E-4,664.4083,0.7303,0.7852,0.7852,0.3156,0.0049,0.1749,0.1749,7.7033,-0.0011,0.2977,0.2977,1.7702,-0.0021,473343.4241,4.958,0.0,0.0,FALSE
152908.0,2.0E-4,20999.2414,24.4966,13362.4892,0.0,460.989,1.1529,0.773,0.773,0.2855,0.0728,0.0974,0.0974,10.3923,0.0286,0.1776,0.1776,1.8244,0.0557,66824.4024,1.6712,0.0,0.0,FALSE
147680.0,2.0E-4,19532.1718,20.0861,17094.3828,0.0,455.1749,1.1875,0.3302,0.3302,0.1514,5.0E-4,0.0132,0.0132,62.7002,-0.0012,0.026,0.026,1.9686,-0.0025,71767.2154,1.4939,0.0,0.0,TRUE
1092551.0,0.0012,33158.911,21.6046,114234.9826,1.0E-4,531.8315,0.9993,0.3672,0.3672,0.1195,2.0E-4,0.0022,0.0022,510.0246,-0.0103,0.0044,0.0044,1.9961,-0.0207,541237.3605,2.9045,0.0,0.0,TRUE
1.1580413E7,0.0129,44974.1097,34.3467,1586198.735,0.0018,561.155,0.7962,0.7413,0.7413,0.2691,0.0076,0.0448,0.0448,11.2415,-0.0154,0.0858,0.0858,1.8366,-0.0312,5131772.5033,4.4698,0.0,0.0,FALSE
43039.0,0.0,7655.3086,15.9016,5048.2127,0.0,288.1005,1.1552,0.7405,0.7405,0.1808,0.0,0.0473,0.0473,24.7463,-2.0E-4,0.0903,0.0903,1.9223,-4.0E-4,19981.8388,0.6051,0.0,0.0,FALSE
121045.0,1.0E-4,10493.3872,44.2875,7594.9866,0.0,309.3264,1.5084,0.1231,0.1231,0.1855,0.0,0.0187,0.0187,-31.1536,-6.0E-4,0.0367,0.0367,2.0663,-0.0013,59014.1627,1.3208,0.0,0.0,FALSE
1569029.0,0.0018,36468.7183,18.4493,159301.6817,2.0E-4,553.7737,0.8423,0.6452,0.6452,0.165,8.0E-4,0.0058,0.0058,36.9666,-0.0157,0.0115,0.0115,1.9473,-0.0319,764736.806,2.8953,0.0,0.0,FALSE
91337.0,1.0E-4,14241.8431,18.2125,7490.5672,0.0,379.2333,0.9918,0.6322,0.6322,0.23,0.0016,0.1093,0.1093,11.6738,0.0036,0.197,0.197,1.8422,0.0072,42177.5066,1.141,0.0,0.0,FALSE
7534621.0,0.0084,31331.4225,22.9,1632019.5888,0.0018,472.205,0.8386,0.3709,0.3709,0.1953,0.0077,0.003,0.003,23.2952,-0.0195,0.0059,0.0059,1.9177,-0.0398,3709304.0694,2.7588,0.0,0.0,FALSE
3.3081133E7,0.037,44260.4127,30.0146,3704460.0714,0.0041,529.9689,0.6754,0.8071,0.8071,0.2211,0.0012,0.0347,0.0347,14.6806,-0.0443,0.0671,0.0671,1.8725,-0.0926,1.49368523866E7,4.1187,0.0,0.0,FALSE
671739.0,8.0E-4,37929.9309,32.9476,60888.3008,1.0E-4,573.4324,1.0354,0.9545,0.9545,0.3725,0.1259,0.1694,0.1694,6.3551,0.0471,0.2897,0.2897,1.7281,0.09,262909.0481,3.4215,0.0,0.0,FALSE
690155.0,8.0E-4,34687.4676,29.8358,93060.9427,1.0E-4,557.7358,1.0049,0.919,0.919,0.2575,0.075,0.066,0.066,14.6575,0.0283,0.1238,0.1238,1.8723,0.055,302692.657,3.0574,0.0,0.0,FALSE
2.1194225E7,0.0237,23940.3486,16.1723,2399606.9167,0.0027,372.9746,0.9392,0.3481,0.3481,0.102,0.0,1.0E-4,1.0E-4,1041.3426,-0.0627,2.0E-4,2.0E-4,1.9981,-0.1337,1.0587677697E7,2.1646,0.0,0.0,TRUE
1677726.0,0.0019,48136.0878,30.5494,113010.4522,1.0E-4,608.3058,0.7496,0.8723,0.8723,0.3212,0.0363,0.1939,0.1939,7.286,0.0141,0.3249,0.3249,1.7586,0.0278,656716.8021,4.6041,0.0,0.0,TRUE
853834.0,0.001,37289.9492,18.8341,99429.9347,1.0E-4,572.9726,0.7001,0.6788,0.6788,0.1792,7.0E-4,0.013,0.013,27.8207,-0.009,0.0257,0.0257,1.9306,-0.0182,408501.6293,3.108,0.0,0.0,FALSE
114012.0,1.0E-4,13457.9567,14.979,16022.1306,0.0,376.8424,1.0457,0.8256,0.8256,0.2429,0.1267,0.1507,0.1507,11.8835,0.0638,0.2619,0.2619,1.8448,0.12,46323.1927,1.0172,0.0,0.0,FALSE
3169924.0,0.0035,46677.1995,30.3482,196582.916,2.0E-4,582.8771,0.71,0.7048,0.7048,0.3186,0.0132,0.1719,0.1719,7.4259,-0.002,0.2934,0.2934,1.7626,-0.004,1265723.7933,4.419,0.0,0.0,FALSE
